puntuacion,jugador,dificultad,intentosRealizados,horaInicio,horaFin
1445,yess,dificil,11,08-12-2022 14:59,08-12-2022 15:04
1238,Usuario,medio,6,09-12-2022 17:56,09-12-2022 17:58
998,Samuel,facil,9,14-12-2022 18:59,14-12-2022 18:59
994,aaronmb,facil,6,14-12-2022 18:49,14-12-2022 18:50
997,Agus,facil,3,17-12-2022 22:04,17-12-2022 22:05
934,Abel,facil,11,18-12-2022 00:11,18-12-2022 00:17
967,admin,facil,11,18-12-2022 22:09,18-12-2022 22:12
