puntuacion,jugador,dificultad,intentosRealizados,horaInicio,horaFin
994,yess,facil,6,08-12-2022 14:37,08-12-2022 14:38
1445,yess,dificil,11,08-12-2022 14:59,08-12-2022 15:04
